 time        v(VIN1)     time        v(VOUT1)   
 7.2050e-08  6.0000e-01  7.2050e-08  1.2000e+00 
 7.3050e-08  6.0000e-01  7.3050e-08  1.2000e+00 
 7.4050e-08  6.0000e-01  7.4050e-08  1.2000e+00 
 7.5050e-08  6.0000e-01  7.5050e-08  1.2000e+00 
 7.6050e-08  6.0000e-01  7.6050e-08  1.2000e+00 
 7.7050e-08  6.0000e-01  7.7050e-08  1.2000e+00 
 7.8050e-08  6.0000e-01  7.8050e-08  1.2000e+00 
 7.9050e-08  6.0000e-01  7.9050e-08  1.2000e+00 
 8.0050e-08  6.0000e-01  8.0050e-08  1.2000e+00 
 8.1050e-08  6.0000e-01  8.1050e-08  1.2000e+00 
 8.2050e-08  6.0000e-01  8.2050e-08  1.2000e+00 
 8.3050e-08  6.0000e-01  8.3050e-08  1.2000e+00 
 8.4050e-08  6.0000e-01  8.4050e-08  1.2000e+00 
 8.5050e-08  6.0000e-01  8.5050e-08  1.2000e+00 
 8.6050e-08  6.0000e-01  8.6050e-08  1.2000e+00 
 8.7050e-08  6.0000e-01  8.7050e-08  1.2000e+00 
 8.8050e-08  6.0000e-01  8.8050e-08  1.2000e+00 
 8.9050e-08  6.0000e-01  8.9050e-08  1.2000e+00 
 9.0050e-08  6.0000e-01  9.0050e-08  1.2000e+00 
 9.1050e-08  6.0000e-01  9.1050e-08  1.2000e+00 
 9.2050e-08  6.0000e-01  9.2050e-08  1.2000e+00 
 9.3050e-08  6.0000e-01  9.3050e-08  1.2000e+00 
 9.4050e-08  6.0000e-01  9.4050e-08  1.2000e+00 
 9.5050e-08  6.0000e-01  9.5050e-08  1.2000e+00 
 9.6050e-08  6.0000e-01  9.6050e-08  1.2000e+00 
 9.7050e-08  6.0000e-01  9.7050e-08  1.2000e+00 
 9.8050e-08  6.0000e-01  9.8050e-08  1.2000e+00 
 9.9050e-08  6.0000e-01  9.9050e-08  1.2000e+00 
 1.0005e-07  6.0000e-01  1.0005e-07  1.2000e+00 
 1.0105e-07  6.0000e-01  1.0105e-07  1.2000e+00 
 1.0205e-07  6.0000e-01  1.0205e-07  1.2000e+00 
 1.0305e-07  6.0000e-01  1.0305e-07  1.2000e+00 
 1.0405e-07  6.0000e-01  1.0405e-07  1.2000e+00 
 1.0505e-07  6.0000e-01  1.0505e-07  1.2000e+00 
 1.0605e-07  6.0000e-01  1.0605e-07  1.2000e+00 
 1.0705e-07  6.0000e-01  1.0705e-07  1.2000e+00 
 1.0805e-07  6.0000e-01  1.0805e-07  1.2000e+00 
 1.0905e-07  6.0000e-01  1.0905e-07  1.2000e+00 
 1.1005e-07  6.0000e-01  1.1005e-07  1.2000e+00 
 1.1105e-07  6.0000e-01  1.1105e-07  1.2000e+00 
 1.1205e-07  6.0000e-01  1.1205e-07  1.2000e+00 
 1.1305e-07  6.0000e-01  1.1305e-07  1.2000e+00 
 1.1405e-07  6.0000e-01  1.1405e-07  1.2000e+00 
 1.1505e-07  6.0000e-01  1.1505e-07  1.2000e+00 
 1.1605e-07  6.0000e-01  1.1605e-07  1.2000e+00 
 1.1705e-07  6.0000e-01  1.1705e-07  1.2000e+00 
 1.1805e-07  6.0000e-01  1.1805e-07  1.2000e+00 
 1.1905e-07  6.0000e-01  1.1905e-07  1.2000e+00 
 1.2005e-07  6.0000e-01  1.2005e-07  1.2000e+00 
 1.2105e-07  6.0000e-01  1.2105e-07  1.2000e+00 
 1.2205e-07  6.0000e-01  1.2205e-07  1.2000e+00 
 1.2305e-07  6.0000e-01  1.2305e-07  1.2000e+00 
 1.2405e-07  6.0000e-01  1.2405e-07  1.2000e+00 
 1.2505e-07  6.0000e-01  1.2505e-07  1.2000e+00 
 1.2605e-07  6.0000e-01  1.2605e-07  1.2000e+00 
 1.2705e-07  6.0000e-01  1.2705e-07  1.2000e+00 
 1.2805e-07  6.0000e-01  1.2805e-07  1.2000e+00 
 1.2905e-07  6.0000e-01  1.2905e-07  1.2000e+00 
 1.3005e-07  6.0000e-01  1.3005e-07  1.2000e+00 
 1.3105e-07  6.0000e-01  1.3105e-07  1.2000e+00 
 1.3205e-07  6.0000e-01  1.3205e-07  1.2000e+00 
 1.3305e-07  6.0000e-01  1.3305e-07  1.2000e+00 
 1.3405e-07  6.0000e-01  1.3405e-07  1.2000e+00 
 1.3505e-07  6.0000e-01  1.3505e-07  1.2000e+00 
 1.3605e-07  6.0000e-01  1.3605e-07  1.2000e+00 
 1.3705e-07  6.0000e-01  1.3705e-07  1.2000e+00 
 1.3805e-07  6.0000e-01  1.3805e-07  1.2000e+00 
 1.3905e-07  6.0000e-01  1.3905e-07  1.2000e+00 
 1.4005e-07  6.0000e-01  1.4005e-07  1.2000e+00 
 1.4105e-07  6.0000e-01  1.4105e-07  1.2000e+00 
 1.4205e-07  6.0000e-01  1.4205e-07  1.2000e+00 
 1.4305e-07  6.0000e-01  1.4305e-07  1.2000e+00 
 1.4405e-07  6.0000e-01  1.4405e-07  1.2000e+00 
 1.4505e-07  6.0000e-01  1.4505e-07  1.2000e+00 
 1.4605e-07  6.0000e-01  1.4605e-07  1.2000e+00 
 1.4705e-07  6.0000e-01  1.4705e-07  1.2000e+00 
 1.4805e-07  6.0000e-01  1.4805e-07  1.2000e+00 
 1.4905e-07  6.0000e-01  1.4905e-07  1.2000e+00 
 1.5005e-07  6.0000e-01  1.5005e-07  1.2000e+00 
 1.5105e-07  6.0000e-01  1.5105e-07  1.2000e+00 
 1.5205e-07  6.0000e-01  1.5205e-07  1.2000e+00 
 1.5305e-07  6.0000e-01  1.5305e-07  1.2000e+00 
 1.5405e-07  6.0000e-01  1.5405e-07  1.2000e+00 
 1.5505e-07  6.0000e-01  1.5505e-07  1.2000e+00 
 1.5605e-07  6.0000e-01  1.5605e-07  1.2000e+00 
 1.5705e-07  6.0000e-01  1.5705e-07  1.2000e+00 
 1.5805e-07  6.0000e-01  1.5805e-07  1.2000e+00 
 1.5905e-07  6.0000e-01  1.5905e-07  1.2000e+00 
 1.6005e-07  6.0000e-01  1.6005e-07  1.2000e+00 
 1.6105e-07  6.0000e-01  1.6105e-07  1.2000e+00 
 1.6205e-07  6.0000e-01  1.6205e-07  1.2000e+00 
 1.6305e-07  6.0000e-01  1.6305e-07  1.2000e+00 
