 time        v(VOUT1)    time        v(VIN1)    
 8.6280e-09  1.2000e+00  8.6280e-09  5.5000e-01 
 8.7280e-09  1.2000e+00  8.7280e-09  5.5000e-01 
 8.8280e-09  1.2000e+00  8.8280e-09  5.5000e-01 
 8.9280e-09  1.2000e+00  8.9280e-09  5.5000e-01 
 9.0280e-09  1.2000e+00  9.0280e-09  5.5000e-01 
 9.1280e-09  1.2000e+00  9.1280e-09  5.5000e-01 
 9.2280e-09  1.2000e+00  9.2280e-09  5.5000e-01 
 9.3280e-09  1.2000e+00  9.3280e-09  5.5000e-01 
 9.4280e-09  1.2000e+00  9.4280e-09  5.5000e-01 
 9.5280e-09  1.2000e+00  9.5280e-09  5.5000e-01 
 9.6280e-09  1.2000e+00  9.6280e-09  5.5000e-01 
 9.7280e-09  1.2000e+00  9.7280e-09  5.5000e-01 
 9.8280e-09  1.2000e+00  9.8280e-09  5.5000e-01 
 9.9280e-09  1.2000e+00  9.9280e-09  5.5000e-01 
 1.0000e-08  1.2000e+00  1.0000e-08  5.5000e-01 
 1.0010e-08  1.2000e+00  1.0010e-08  5.6000e-01 
 1.0030e-08  1.2000e+00  1.0030e-08  5.8000e-01 
 1.0070e-08  1.2001e+00  1.0070e-08  6.2000e-01 
 1.0100e-08  1.2001e+00  1.0100e-08  6.5000e-01 
 1.0108e-08  1.2001e+00  1.0108e-08  6.5000e-01 
 1.0124e-08  1.2001e+00  1.0124e-08  6.5000e-01 
 1.0156e-08  1.2000e+00  1.0156e-08  6.5000e-01 
 1.0220e-08  1.2000e+00  1.0220e-08  6.5000e-01 
 1.0320e-08  1.2000e+00  1.0320e-08  6.5000e-01 
 1.0420e-08  1.2000e+00  1.0420e-08  6.5000e-01 
 1.0520e-08  1.2000e+00  1.0520e-08  6.5000e-01 
 1.0620e-08  1.2000e+00  1.0620e-08  6.5000e-01 
 1.0720e-08  1.2000e+00  1.0720e-08  6.5000e-01 
 1.0820e-08  1.2000e+00  1.0820e-08  6.5000e-01 
 1.0920e-08  1.2000e+00  1.0920e-08  6.5000e-01 
 1.1020e-08  1.2000e+00  1.1020e-08  6.5000e-01 
 1.1120e-08  1.2000e+00  1.1120e-08  6.5000e-01 
 1.1220e-08  1.2000e+00  1.1220e-08  6.5000e-01 
 1.1320e-08  1.2000e+00  1.1320e-08  6.5000e-01 
 1.1420e-08  1.2000e+00  1.1420e-08  6.5000e-01 
 1.1520e-08  1.2000e+00  1.1520e-08  6.5000e-01 
 1.1620e-08  1.2000e+00  1.1620e-08  6.5000e-01 
 1.1720e-08  1.2000e+00  1.1720e-08  6.5000e-01 
 1.1820e-08  1.2000e+00  1.1820e-08  6.5000e-01 
 1.1920e-08  1.2000e+00  1.1920e-08  6.5000e-01 
 1.2020e-08  1.2000e+00  1.2020e-08  6.5000e-01 
 1.2120e-08  1.2000e+00  1.2120e-08  6.5000e-01 
 1.2220e-08  1.2000e+00  1.2220e-08  6.5000e-01 
 1.2320e-08  1.2000e+00  1.2320e-08  6.5000e-01 
 1.2420e-08  1.2000e+00  1.2420e-08  6.5000e-01 
 1.2520e-08  1.2000e+00  1.2520e-08  6.5000e-01 
 1.2620e-08  1.2000e+00  1.2620e-08  6.5000e-01 
 1.2720e-08  1.2000e+00  1.2720e-08  6.5000e-01 
 1.2820e-08  1.2000e+00  1.2820e-08  6.5000e-01 
 1.2920e-08  1.2000e+00  1.2920e-08  6.5000e-01 
 1.3020e-08  1.2000e+00  1.3020e-08  6.5000e-01 
 1.3120e-08  1.2000e+00  1.3120e-08  6.5000e-01 
 1.3220e-08  1.2000e+00  1.3220e-08  6.5000e-01 
 1.3320e-08  1.2000e+00  1.3320e-08  6.5000e-01 
 1.3420e-08  1.2000e+00  1.3420e-08  6.5000e-01 
 1.3520e-08  1.2000e+00  1.3520e-08  6.5000e-01 
 1.3620e-08  1.2000e+00  1.3620e-08  6.5000e-01 
 1.3720e-08  1.2000e+00  1.3720e-08  6.5000e-01 
 1.3820e-08  1.2000e+00  1.3820e-08  6.5000e-01 
 1.3920e-08  1.2000e+00  1.3920e-08  6.5000e-01 
 1.4020e-08  1.2000e+00  1.4020e-08  6.5000e-01 
 1.4120e-08  1.2000e+00  1.4120e-08  6.5000e-01 
 1.4220e-08  1.2000e+00  1.4220e-08  6.5000e-01 
 1.4320e-08  1.2000e+00  1.4320e-08  6.5000e-01 
 1.4420e-08  1.2000e+00  1.4420e-08  6.5000e-01 
 1.4520e-08  1.2000e+00  1.4520e-08  6.5000e-01 
 1.4620e-08  1.2000e+00  1.4620e-08  6.5000e-01 
 1.4720e-08  1.2000e+00  1.4720e-08  6.5000e-01 
 1.4820e-08  1.2000e+00  1.4820e-08  6.5000e-01 
 1.4920e-08  1.2000e+00  1.4920e-08  6.5000e-01 
 1.5020e-08  1.2000e+00  1.5020e-08  6.5000e-01 
 1.5120e-08  1.2000e+00  1.5120e-08  6.5000e-01 
 1.5220e-08  1.2000e+00  1.5220e-08  6.5000e-01 
 1.5320e-08  1.2000e+00  1.5320e-08  6.5000e-01 
 1.5420e-08  1.2000e+00  1.5420e-08  6.5000e-01 
 1.5520e-08  1.2000e+00  1.5520e-08  6.5000e-01 
 1.5620e-08  1.2000e+00  1.5620e-08  6.5000e-01 
 1.5720e-08  1.2000e+00  1.5720e-08  6.5000e-01 
 1.5820e-08  1.2000e+00  1.5820e-08  6.5000e-01 
 1.5920e-08  1.2000e+00  1.5920e-08  6.5000e-01 
 1.6020e-08  1.2000e+00  1.6020e-08  6.5000e-01 
 1.6120e-08  1.2000e+00  1.6120e-08  6.5000e-01 
 1.6220e-08  1.2000e+00  1.6220e-08  6.5000e-01 
 1.6320e-08  1.2000e+00  1.6320e-08  6.5000e-01 
 1.6420e-08  1.2000e+00  1.6420e-08  6.5000e-01 
 1.6520e-08  1.2000e+00  1.6520e-08  6.5000e-01 
 1.6620e-08  1.2000e+00  1.6620e-08  6.5000e-01 
 1.6720e-08  1.2000e+00  1.6720e-08  6.5000e-01 
 1.6820e-08  1.2000e+00  1.6820e-08  6.5000e-01 
 1.6920e-08  1.2000e+00  1.6920e-08  6.5000e-01 
 1.7020e-08  1.2000e+00  1.7020e-08  6.5000e-01 
 1.7120e-08  1.2000e+00  1.7120e-08  6.5000e-01 
 1.7220e-08  1.2000e+00  1.7220e-08  6.5000e-01 
 1.7320e-08  1.2000e+00  1.7320e-08  6.5000e-01 
 1.7420e-08  1.2000e+00  1.7420e-08  6.5000e-01 
 1.7520e-08  1.2000e+00  1.7520e-08  6.5000e-01 
 1.7620e-08  1.2000e+00  1.7620e-08  6.5000e-01 
 1.7720e-08  1.2000e+00  1.7720e-08  6.5000e-01 
 1.7820e-08  1.2000e+00  1.7820e-08  6.5000e-01 
 1.7920e-08  1.2000e+00  1.7920e-08  6.5000e-01 
 1.8020e-08  1.2000e+00  1.8020e-08  6.5000e-01 
 1.8120e-08  1.2000e+00  1.8120e-08  6.5000e-01 
 1.8220e-08  1.2000e+00  1.8220e-08  6.5000e-01 
 1.8320e-08  1.2000e+00  1.8320e-08  6.5000e-01 
 1.8420e-08  1.2000e+00  1.8420e-08  6.5000e-01 
 1.8520e-08  1.2000e+00  1.8520e-08  6.5000e-01 
 1.8620e-08  1.2000e+00  1.8620e-08  6.5000e-01 
 1.8720e-08  1.2000e+00  1.8720e-08  6.5000e-01 
 1.8820e-08  1.2000e+00  1.8820e-08  6.5000e-01 
 1.8920e-08  1.2000e+00  1.8920e-08  6.5000e-01 
 1.9020e-08  1.2000e+00  1.9020e-08  6.5000e-01 
 1.9120e-08  1.2000e+00  1.9120e-08  6.5000e-01 
 1.9220e-08  1.2000e+00  1.9220e-08  6.5000e-01 
 1.9320e-08  1.2000e+00  1.9320e-08  6.5000e-01 
 1.9420e-08  1.2000e+00  1.9420e-08  6.5000e-01 
 1.9520e-08  1.2000e+00  1.9520e-08  6.5000e-01 
 1.9620e-08  1.2000e+00  1.9620e-08  6.5000e-01 
 1.9720e-08  1.2000e+00  1.9720e-08  6.5000e-01 
 1.9820e-08  1.2000e+00  1.9820e-08  6.5000e-01 
 1.9920e-08  1.2000e+00  1.9920e-08  6.5000e-01 
 2.0020e-08  1.2000e+00  2.0020e-08  6.5000e-01 
 2.0120e-08  1.2000e+00  2.0120e-08  6.5000e-01 
 2.0220e-08  1.2000e+00  2.0220e-08  6.5000e-01 
 2.0320e-08  1.2000e+00  2.0320e-08  6.5000e-01 
 2.0420e-08  1.2000e+00  2.0420e-08  6.5000e-01 
 2.0520e-08  1.2000e+00  2.0520e-08  6.5000e-01 
 2.0620e-08  1.2000e+00  2.0620e-08  6.5000e-01 
 2.0720e-08  1.2000e+00  2.0720e-08  6.5000e-01 
 2.0820e-08  1.2000e+00  2.0820e-08  6.5000e-01 
 2.0920e-08  1.2000e+00  2.0920e-08  6.5000e-01 
 2.1020e-08  1.2000e+00  2.1020e-08  6.5000e-01 
 2.1120e-08  1.2000e+00  2.1120e-08  6.5000e-01 
 2.1220e-08  1.2000e+00  2.1220e-08  6.5000e-01 
 2.1320e-08  1.2000e+00  2.1320e-08  6.5000e-01 
 2.1420e-08  1.2000e+00  2.1420e-08  6.5000e-01 
 2.1520e-08  1.2000e+00  2.1520e-08  6.5000e-01 
 2.1620e-08  1.2000e+00  2.1620e-08  6.5000e-01 
 2.1720e-08  1.2000e+00  2.1720e-08  6.5000e-01 
 2.1820e-08  1.2000e+00  2.1820e-08  6.5000e-01 
 2.1920e-08  1.2000e+00  2.1920e-08  6.5000e-01 
 2.2020e-08  1.2000e+00  2.2020e-08  6.5000e-01 
 2.2120e-08  1.2000e+00  2.2120e-08  6.5000e-01 
 2.2220e-08  1.2000e+00  2.2220e-08  6.5000e-01 
 2.2320e-08  1.2000e+00  2.2320e-08  6.5000e-01 
 2.2420e-08  1.2000e+00  2.2420e-08  6.5000e-01 
 2.2520e-08  1.2000e+00  2.2520e-08  6.5000e-01 
 2.2620e-08  1.2000e+00  2.2620e-08  6.5000e-01 
 2.2720e-08  1.2000e+00  2.2720e-08  6.5000e-01 
 2.2820e-08  1.2000e+00  2.2820e-08  6.5000e-01 
 2.2920e-08  1.2000e+00  2.2920e-08  6.5000e-01 
 2.3020e-08  1.2000e+00  2.3020e-08  6.5000e-01 
 2.3120e-08  1.2000e+00  2.3120e-08  6.5000e-01 
 2.3220e-08  1.2000e+00  2.3220e-08  6.5000e-01 
 2.3320e-08  1.2000e+00  2.3320e-08  6.5000e-01 
 2.3420e-08  1.2000e+00  2.3420e-08  6.5000e-01 
 2.3520e-08  1.2000e+00  2.3520e-08  6.5000e-01 
 2.3620e-08  1.2000e+00  2.3620e-08  6.5000e-01 
 2.3720e-08  1.2000e+00  2.3720e-08  6.5000e-01 
 2.3820e-08  1.2000e+00  2.3820e-08  6.5000e-01 
 2.3920e-08  1.2000e+00  2.3920e-08  6.5000e-01 
 2.4020e-08  1.2000e+00  2.4020e-08  6.5000e-01 
 2.4120e-08  1.2000e+00  2.4120e-08  6.5000e-01 
 2.4220e-08  1.2000e+00  2.4220e-08  6.5000e-01 
 2.4320e-08  1.2000e+00  2.4320e-08  6.5000e-01 
 2.4420e-08  1.2000e+00  2.4420e-08  6.5000e-01 
 2.4520e-08  1.2000e+00  2.4520e-08  6.5000e-01 
 2.4620e-08  1.2000e+00  2.4620e-08  6.5000e-01 
 2.4720e-08  1.2000e+00  2.4720e-08  6.5000e-01 
 2.4820e-08  1.2000e+00  2.4820e-08  6.5000e-01 
 2.4920e-08  1.2000e+00  2.4920e-08  6.5000e-01 
 2.5020e-08  1.2000e+00  2.5020e-08  6.5000e-01 
 2.5120e-08  1.2000e+00  2.5120e-08  6.5000e-01 
 2.5220e-08  1.2000e+00  2.5220e-08  6.5000e-01 
 2.5320e-08  1.2000e+00  2.5320e-08  6.5000e-01 
 2.5420e-08  1.2000e+00  2.5420e-08  6.5000e-01 
 2.5520e-08  1.2000e+00  2.5520e-08  6.5000e-01 
 2.5620e-08  1.2000e+00  2.5620e-08  6.5000e-01 
 2.5720e-08  1.2000e+00  2.5720e-08  6.5000e-01 
 2.5820e-08  1.2000e+00  2.5820e-08  6.5000e-01 
 2.5920e-08  1.2000e+00  2.5920e-08  6.5000e-01 
 2.6020e-08  1.2000e+00  2.6020e-08  6.5000e-01 
 2.6120e-08  1.2000e+00  2.6120e-08  6.5000e-01 
 2.6220e-08  1.2000e+00  2.6220e-08  6.5000e-01 
 2.6320e-08  1.2000e+00  2.6320e-08  6.5000e-01 
 2.6420e-08  1.2000e+00  2.6420e-08  6.5000e-01 
 2.6520e-08  1.2000e+00  2.6520e-08  6.5000e-01 
 2.6620e-08  1.2000e+00  2.6620e-08  6.5000e-01 
 2.6720e-08  1.2000e+00  2.6720e-08  6.5000e-01 
 2.6820e-08  1.2000e+00  2.6820e-08  6.5000e-01 
 2.6920e-08  1.2000e+00  2.6920e-08  6.5000e-01 
 2.7020e-08  1.2000e+00  2.7020e-08  6.5000e-01 
 2.7120e-08  1.2000e+00  2.7120e-08  6.5000e-01 
 2.7220e-08  1.2000e+00  2.7220e-08  6.5000e-01 
 2.7320e-08  1.2000e+00  2.7320e-08  6.5000e-01 
 2.7420e-08  1.2000e+00  2.7420e-08  6.5000e-01 
 2.7520e-08  1.2000e+00  2.7520e-08  6.5000e-01 
 2.7620e-08  1.2000e+00  2.7620e-08  6.5000e-01 
 2.7720e-08  1.2000e+00  2.7720e-08  6.5000e-01 
 2.7820e-08  1.2000e+00  2.7820e-08  6.5000e-01 
 2.7920e-08  1.2000e+00  2.7920e-08  6.5000e-01 
 2.8020e-08  1.2000e+00  2.8020e-08  6.5000e-01 
 2.8120e-08  1.2000e+00  2.8120e-08  6.5000e-01 
 2.8220e-08  1.2000e+00  2.8220e-08  6.5000e-01 
 2.8320e-08  1.2000e+00  2.8320e-08  6.5000e-01 
 2.8420e-08  1.2000e+00  2.8420e-08  6.5000e-01 
