 frequency   v(VOUT1)    v(VOUT1)   
 1.0000e+00  1.0000e+00 -6.2961e-10 
 1.2589e+00  1.0000e+00 -7.9264e-10 
 1.5849e+00  1.0000e+00 -9.9787e-10 
 1.9953e+00  1.0000e+00 -1.2562e-09 
 2.5119e+00  1.0000e+00 -1.5815e-09 
 3.1623e+00  1.0000e+00 -1.9910e-09 
 3.9811e+00  1.0000e+00 -2.5065e-09 
 5.0119e+00  1.0000e+00 -3.1555e-09 
 6.3096e+00  1.0000e+00 -3.9726e-09 
 7.9433e+00  1.0000e+00 -5.0012e-09 
 1.0000e+01  1.0000e+00 -6.2961e-09 
 1.2589e+01  1.0000e+00 -7.9264e-09 
 1.5849e+01  1.0000e+00 -9.9787e-09 
 1.9953e+01  1.0000e+00 -1.2562e-08 
 2.5119e+01  1.0000e+00 -1.5815e-08 
 3.1623e+01  1.0000e+00 -1.9910e-08 
 3.9811e+01  1.0000e+00 -2.5065e-08 
 5.0119e+01  1.0000e+00 -3.1555e-08 
 6.3096e+01  1.0000e+00 -3.9726e-08 
 7.9433e+01  1.0000e+00 -5.0012e-08 
 1.0000e+02  1.0000e+00 -6.2961e-08 
 1.2589e+02  1.0000e+00 -7.9264e-08 
 1.5849e+02  1.0000e+00 -9.9787e-08 
 1.9953e+02  1.0000e+00 -1.2562e-07 
 2.5119e+02  1.0000e+00 -1.5815e-07 
 3.1623e+02  1.0000e+00 -1.9910e-07 
 3.9811e+02  1.0000e+00 -2.5065e-07 
 5.0119e+02  1.0000e+00 -3.1555e-07 
 6.3096e+02  1.0000e+00 -3.9726e-07 
 7.9433e+02  1.0000e+00 -5.0012e-07 
 1.0000e+03  1.0000e+00 -6.2961e-07 
 1.2589e+03  1.0000e+00 -7.9264e-07 
 1.5849e+03  1.0000e+00 -9.9787e-07 
 1.9953e+03  1.0000e+00 -1.2562e-06 
 2.5119e+03  1.0000e+00 -1.5815e-06 
 3.1623e+03  1.0000e+00 -1.9910e-06 
 3.9811e+03  1.0000e+00 -2.5065e-06 
 5.0119e+03  1.0000e+00 -3.1555e-06 
 6.3096e+03  1.0000e+00 -3.9726e-06 
 7.9433e+03  1.0000e+00 -5.0012e-06 
 1.0000e+04  1.0000e+00 -6.2961e-06 
 1.2589e+04  1.0000e+00 -7.9264e-06 
 1.5849e+04  1.0000e+00 -9.9787e-06 
 1.9953e+04  1.0000e+00 -1.2562e-05 
 2.5119e+04  1.0000e+00 -1.5815e-05 
 3.1623e+04  1.0000e+00 -1.9910e-05 
 3.9811e+04  1.0000e+00 -2.5065e-05 
 5.0119e+04  1.0000e+00 -3.1555e-05 
 6.3096e+04  1.0000e+00 -3.9726e-05 
 7.9433e+04  1.0000e+00 -5.0012e-05 
 1.0000e+05  1.0000e+00 -6.2961e-05 
 1.2589e+05  1.0000e+00 -7.9264e-05 
 1.5849e+05  1.0000e+00 -9.9787e-05 
 1.9953e+05  1.0000e+00 -1.2562e-04 
 2.5119e+05  1.0000e+00 -1.5815e-04 
 3.1623e+05  1.0000e+00 -1.9910e-04 
 3.9811e+05  1.0000e+00 -2.5065e-04 
 5.0119e+05  1.0000e+00 -3.1555e-04 
 6.3096e+05  1.0000e+00 -3.9726e-04 
 7.9433e+05  1.0000e+00 -5.0012e-04 
 1.0000e+06  1.0000e+00 -6.2961e-04 
 1.2589e+06  1.0000e+00 -7.9264e-04 
 1.5849e+06  1.0000e+00 -9.9787e-04 
 1.9953e+06  1.0000e+00 -1.2563e-03 
 2.5119e+06  1.0000e+00 -1.5815e-03 
 3.1623e+06  1.0000e+00 -1.9910e-03 
 3.9811e+06  1.0000e+00 -2.5066e-03 
 5.0119e+06  1.0000e+00 -3.1556e-03 
 6.3096e+06  9.9999e-01 -3.9727e-03 
 7.9433e+06  9.9998e-01 -5.0015e-03 
 1.0000e+07  9.9997e-01 -6.2967e-03 
 1.2589e+07  9.9995e-01 -7.9274e-03 
 1.5849e+07  9.9991e-01 -9.9804e-03 
 1.9953e+07  9.9986e-01 -1.2565e-02 
 2.5119e+07  9.9977e-01 -1.5819e-02 
 3.1623e+07  9.9962e-01 -1.9915e-02 
 3.9811e+07  9.9939e-01 -2.5069e-02 
 5.0119e+07  9.9903e-01 -3.1552e-02 
 6.3096e+07  9.9845e-01 -3.9703e-02 
 7.9433e+07  9.9753e-01 -4.9940e-02 
 1.0000e+08  9.9607e-01 -6.2782e-02 
 1.2589e+08  9.9377e-01 -7.8858e-02 
 1.5849e+08  9.9015e-01 -9.8917e-02 
 1.9953e+08  9.8446e-01 -1.2382e-01 
 2.5119e+08  9.7557e-01 -1.5447e-01 
 3.1623e+08  9.6181e-01 -1.9172e-01 
 3.9811e+08  9.4078e-01 -2.3609e-01 
 5.0119e+08  9.0927e-01 -2.8726e-01 
 6.3096e+08  8.6344e-01 -3.4342e-01 
 7.9433e+08  7.9957e-01 -4.0035e-01 
 1.0000e+09  7.1566e-01 -4.5112e-01 
 1.2589e+09  6.1360e-01 -4.8694e-01 
 1.5849e+09  5.0049e-01 -5.0001e-01 
 1.9953e+09  3.8732e-01 -4.8715e-01 
 2.5119e+09  2.8514e-01 -4.5149e-01 
 3.1623e+09  2.0107e-01 -4.0081e-01 
 3.9811e+09  1.3703e-01 -3.4389e-01 
 5.0119e+09  9.1068e-02 -2.8771e-01 
 6.3096e+09  5.9458e-02 -2.3648e-01 
 7.9433e+09  3.8357e-02 -1.9206e-01 
 1.0000e+10  2.4549e-02 -1.5475e-01 
