Simulation step,Specs,Circuit Params,Reward
414,"{'area': np.float32(2.5066131e-09), 'current': np.float64(0.00042882242), 'gain': np.float64(289.2747700086131), 'noise': np.float64(0.0040285322), 'phm': np.float64(91.16235047535363), 'slewRate': np.float64(17.675509853116292), 'ugbw': 61873437.23213425}","{'mp1': 24, 'wp1': np.float32(7.5947844e-07), 'lp1': np.float32(2.1992965e-07), 'mn1': 18, 'wn1': np.float32(2.7218368e-06), 'ln1': np.float32(1.06369036e-07), 'mp3': 16, 'wp3': np.float32(9.979168e-07), 'lp3': np.float32(1.1261223e-07), 'mn3': 6, 'wn3': np.float32(1.0401951e-06), 'ln3': np.float32(1.11373424e-07), 'mn4': 5, 'wn4': np.float32(2.8648983e-06), 'ln4': np.float32(5.757431e-08), 'mn5': 15, 'wn5': np.float32(2.9436533e-06), 'ln5': np.float32(1.2850882e-07), 'cap': np.float32(6.7248464e-12), 'res': np.float32(2335.4373)}",-0.17630587999136388

1156,"{'area': np.float64(1.0948030001871936e-09), 'current': np.float64(0.00085214025), 'gain': np.float64(298.4648600132295), 'noise': np.float64(0.0097472675), 'phm': np.float64(62.7961031627253), 'slewRate': np.float64(20.81239828413257), 'ugbw': 176884353.9509886}","{'mp1': 14, 'wp1': np.float64(2.6248456643455516e-07), 'lp1': np.float64(1.9127046108282132e-07), 'mn1': 13, 'wn1': np.float64(3.7628034475254617e-07), 'ln1': np.float64(1.9253735361005672e-07), 'mp3': 19, 'wp3': np.float64(2.823755331897908e-06), 'lp3': np.float64(8.830910012675025e-08), 'mn3': 16, 'wn3': np.float64(8.448535500483798e-07), 'ln3': np.float64(1.6596763057191922e-07), 'mn4': 15, 'wn4': np.float64(1.3036696524437e-06), 'ln4': np.float64(1.651172108422842e-07), 'mn5': 24, 'wn5': np.float64(1.5252242089796605e-06), 'ln5': np.float64(6.057186766598687e-08), 'cap': np.float64(1.3078677695654235e-12), 'res': np.float64(8348.475452571136)}",-0.027333170954838282

