 frequency      v(net29_sense) v(net29_sense) frequency      v(net29_gate)  v(net29_gate) 
 3.1622777e+05 -1.0559660e-01  5.3193469e-04  3.1622777e+05  1.0000000e+00  1.1648099e-22 
 3.9810717e+05 -1.0559506e-01  6.6965649e-04  3.9810717e+05  1.0000000e+00  9.2524175e-23 
 5.0118723e+05 -1.0559261e-01  8.4302839e-04  5.0118723e+05  1.0000000e+00  7.3494613e-23 
 6.3095734e+05 -1.0558874e-01  1.0612716e-03  6.3095734e+05  1.0000000e+00  5.8378907e-23 
 7.9432823e+05 -1.0558261e-01  1.3359854e-03  7.9432823e+05  1.0000000e+00  4.6372090e-23 
 1.0000000e+06 -1.0557288e-01  1.6817537e-03  1.0000000e+06  1.0000000e+00  3.6834757e-23 
 1.2589254e+06 -1.0555747e-01  2.1168985e-03  1.2589254e+06  1.0000000e+00  2.9259008e-23 
 1.5848932e+06 -1.0553306e-01  2.6644113e-03  1.5848932e+06  1.0000000e+00  2.3241409e-23 
 1.9952623e+06 -1.0549440e-01  3.3530865e-03  1.9952623e+06  1.0000000e+00  1.8461499e-23 
 2.5118864e+06 -1.0543318e-01  4.2188767e-03  2.5118864e+06  1.0000000e+00  1.4664731e-23 
 3.1622777e+06 -1.0533629e-01  5.3064512e-03  3.1622777e+06  1.0000000e+00  1.1648913e-23 
 3.9810717e+06 -1.0518309e-01  6.6708716e-03  3.9810717e+06  1.0000000e+00  9.2534415e-24 
 5.0118723e+06 -1.0494118e-01  8.3791362e-03  5.0118723e+06  1.0000000e+00  7.3507475e-24 
 6.3095734e+06 -1.0456001e-01  1.0511031e-02  6.3095734e+06  1.0000000e+00  5.8395042e-24 
 7.9432823e+06 -1.0396144e-01  1.3158119e-02  7.9432823e+06  1.0000000e+00  4.6392291e-24 
 1.0000000e+07 -1.0302645e-01  1.6418617e-02  1.0000000e+07  1.0000000e+00  3.6859967e-24 
 1.2589254e+07 -1.0157798e-01  2.0384146e-02  1.2589254e+07  1.0000000e+00  2.9290314e-24 
 1.5848932e+07 -9.9362547e-02  2.5112058e-02  1.5848932e+07  1.0000000e+00  2.3279988e-24 
 1.9952623e+07 -9.6039426e-02  3.0575486e-02  1.9952623e+07  1.0000000e+00  1.8508495e-24 
 2.5118864e+07 -9.1197690e-02  3.6586996e-02  2.5118864e+07  1.0000000e+00  1.4721013e-24 
 3.1622777e+07 -8.4434199e-02  4.2709685e-02  3.1622777e+07  1.0000000e+00  1.1714699e-24 
 3.9810717e+07 -7.5521570e-02  4.8209779e-02  3.9810717e+07  1.0000000e+00  9.3278522e-25 
 5.0118723e+07 -6.4638402e-02  5.2147552e-02  5.0118723e+07  1.0000000e+00  7.4314988e-25 
 6.3095734e+07 -5.2520367e-02  5.3671752e-02  6.3095734e+07  1.0000000e+00  5.9230459e-25 
 7.9432823e+07 -4.0338504e-02  5.2409624e-02  7.9432823e+07  1.0000000e+00  4.7214759e-25 
 1.0000000e+08 -2.9288170e-02  4.8668012e-02  1.0000000e+08  1.0000000e+00  3.7633664e-25 
 1.2589254e+08 -2.0160316e-02  4.3266186e-02  1.2589254e+08  1.0000000e+00  2.9992347e-25 
 1.5848932e+08 -1.3186218e-02  3.7150737e-02  1.5848932e+08  1.0000000e+00  2.3902538e-25 
 1.9952623e+08 -8.1690345e-03  3.1082670e-02  1.9952623e+08  1.0000000e+00  1.9056342e-25 
 2.5118864e+08 -4.7145206e-03  2.5527112e-02  2.5118864e+08  1.0000000e+00  1.5207541e-25 
 3.1622777e+08 -2.4081880e-03  2.0691521e-02  3.1622777e+08  1.0000000e+00  1.2158654e-25 
 3.9810717e+08 -9.0157865e-04  1.6613675e-02  3.9810717e+08  1.0000000e+00  9.7515249e-26 
 5.0118723e+08  6.6063843e-05  1.3240422e-02  5.0118723e+08  1.0000000e+00  7.8599313e-26 
 6.3095734e+08  6.7670997e-04  1.0480331e-02  6.3095734e+08  1.0000000e+00  6.3834731e-26 
 7.9432823e+08  1.0514394e-03  8.2334841e-03  7.9432823e+08  1.0000000e+00  5.2423157e-26 
 1.0000000e+09  1.2675946e-03  6.4063095e-03  1.0000000e+09  1.0000000e+00  4.3724809e-26 
 1.2589254e+09  1.3723009e-03  4.9181475e-03  1.2589254e+09  1.0000000e+00  3.7213711e-26 
