 time        v(VOUT1)   
 1.6450e-08  3.3951e-03 
 1.6550e-08  3.3951e-03 
 1.6650e-08  3.3951e-03 
 1.6750e-08  3.3951e-03 
 1.6850e-08  3.3951e-03 
 1.6950e-08  3.3951e-03 
 1.7050e-08  3.3951e-03 
 1.7150e-08  3.3951e-03 
 1.7250e-08  3.3951e-03 
 1.7350e-08  3.3951e-03 
 1.7450e-08  3.3951e-03 
 1.7550e-08  3.3951e-03 
 1.7650e-08  3.3951e-03 
 1.7750e-08  3.3951e-03 
 1.7850e-08  3.3951e-03 
 1.7950e-08  3.3951e-03 
 1.8050e-08  3.3951e-03 
 1.8150e-08  3.3951e-03 
 1.8250e-08  3.3951e-03 
 1.8350e-08  3.3951e-03 
 1.8450e-08  3.3951e-03 
 1.8550e-08  3.3951e-03 
 1.8650e-08  3.3951e-03 
 1.8750e-08  3.3951e-03 
 1.8850e-08  3.3951e-03 
 1.8950e-08  3.3951e-03 
 1.9050e-08  3.3951e-03 
 1.9150e-08  3.3951e-03 
 1.9250e-08  3.3951e-03 
 1.9350e-08  3.3951e-03 
 1.9450e-08  3.3951e-03 
 1.9550e-08  3.3951e-03 
 1.9650e-08  3.3951e-03 
 1.9750e-08  3.3951e-03 
 1.9850e-08  3.3951e-03 
 1.9950e-08  3.3951e-03 
 2.0050e-08  3.3951e-03 
 2.0150e-08  3.3951e-03 
 2.0250e-08  3.3951e-03 
 2.0350e-08  3.3951e-03 
 2.0450e-08  3.3951e-03 
 2.0550e-08  3.3951e-03 
 2.0650e-08  3.3951e-03 
 2.0750e-08  3.3951e-03 
 2.0850e-08  3.3951e-03 
 2.0950e-08  3.3951e-03 
 2.1050e-08  3.3951e-03 
 2.1150e-08  3.3951e-03 
 2.1250e-08  3.3951e-03 
 2.1350e-08  3.3951e-03 
 2.1450e-08  3.3951e-03 
 2.1550e-08  3.3951e-03 
 2.1650e-08  3.3951e-03 
 2.1750e-08  3.3951e-03 
 2.1850e-08  3.3951e-03 
 2.1950e-08  3.3951e-03 
 2.2050e-08  3.3951e-03 
 2.2150e-08  3.3951e-03 
 2.2250e-08  3.3951e-03 
 2.2350e-08  3.3951e-03 
 2.2450e-08  3.3951e-03 
 2.2550e-08  3.3951e-03 
 2.2650e-08  3.3951e-03 
 2.2750e-08  3.3951e-03 
 2.2850e-08  3.3951e-03 
 2.2950e-08  3.3951e-03 
 2.3050e-08  3.3951e-03 
 2.3150e-08  3.3951e-03 
 2.3250e-08  3.3951e-03 
 2.3350e-08  3.3951e-03 
 2.3450e-08  3.3951e-03 
 2.3550e-08  3.3951e-03 
 2.3650e-08  3.3951e-03 
 2.3750e-08  3.3951e-03 
 2.3850e-08  3.3951e-03 
 2.3950e-08  3.3951e-03 
 2.4050e-08  3.3951e-03 
 2.4150e-08  3.3951e-03 
 2.4250e-08  3.3951e-03 
 2.4350e-08  3.3951e-03 
 2.4450e-08  3.3951e-03 
 2.4550e-08  3.3951e-03 
 2.4650e-08  3.3951e-03 
 2.4750e-08  3.3951e-03 
 2.4850e-08  3.3951e-03 
 2.4950e-08  3.3951e-03 
 2.5050e-08  3.3951e-03 
 2.5150e-08  3.3951e-03 
 2.5250e-08  3.3951e-03 
 2.5350e-08  3.3951e-03 
 2.5450e-08  3.3951e-03 
 2.5550e-08  3.3951e-03 
 2.5650e-08  3.3951e-03 
 2.5750e-08  3.3951e-03 
 2.5850e-08  3.3951e-03 
 2.5950e-08  3.3951e-03 
 2.6050e-08  3.3951e-03 
 2.6150e-08  3.3951e-03 
 2.6250e-08  3.3951e-03 
 2.6350e-08  3.3951e-03 
 2.6450e-08  3.3951e-03 
 2.6550e-08  3.3951e-03 
 2.6650e-08  3.3951e-03 
 2.6750e-08  3.3951e-03 
 2.6850e-08  3.3951e-03 
 2.6950e-08  3.3951e-03 
 2.7050e-08  3.3951e-03 
 2.7150e-08  3.3951e-03 
 2.7250e-08  3.3951e-03 
 2.7350e-08  3.3951e-03 
 2.7450e-08  3.3951e-03 
 2.7550e-08  3.3951e-03 
 2.7650e-08  3.3951e-03 
 2.7750e-08  3.3951e-03 
 2.7850e-08  3.3951e-03 
 2.7950e-08  3.3951e-03 
 2.8050e-08  3.3951e-03 
 2.8150e-08  3.3951e-03 
 2.8250e-08  3.3951e-03 
 2.8350e-08  3.3951e-03 
 2.8450e-08  3.3951e-03 
 2.8550e-08  3.3951e-03 
 2.8650e-08  3.3951e-03 
 2.8750e-08  3.3951e-03 
 2.8850e-08  3.3951e-03 
 2.8950e-08  3.3951e-03 
 2.9050e-08  3.3951e-03 
 2.9150e-08  3.3951e-03 
 2.9250e-08  3.3951e-03 
 2.9350e-08  3.3951e-03 
 2.9450e-08  3.3951e-03 
 2.9550e-08  3.3951e-03 
 2.9650e-08  3.3951e-03 
 2.9750e-08  3.3951e-03 
 2.9850e-08  3.3951e-03 
 2.9950e-08  3.3951e-03 
 3.0050e-08  3.3951e-03 
 3.0150e-08  3.3951e-03 
 3.0250e-08  3.3951e-03 
 3.0350e-08  3.3951e-03 
 3.0450e-08  3.3951e-03 
 3.0550e-08  3.3951e-03 
 3.0650e-08  3.3951e-03 
 3.0750e-08  3.3951e-03 
 3.0850e-08  3.3951e-03 
 3.0950e-08  3.3951e-03 
 3.1050e-08  3.3951e-03 
 3.1150e-08  3.3951e-03 
 3.1250e-08  3.3951e-03 
 3.1350e-08  3.3951e-03 
 3.1450e-08  3.3951e-03 
 3.1550e-08  3.3951e-03 
 3.1650e-08  3.3951e-03 
 3.1750e-08  3.3951e-03 
 3.1850e-08  3.3951e-03 
 3.1950e-08  3.3951e-03 
 3.2050e-08  3.3951e-03 
 3.2150e-08  3.3951e-03 
 3.2250e-08  3.3951e-03 
 3.2350e-08  3.3951e-03 
 3.2450e-08  3.3951e-03 
 3.2550e-08  3.3951e-03 
 3.2650e-08  3.3951e-03 
 3.2750e-08  3.3951e-03 
 3.2850e-08  3.3951e-03 
 3.2950e-08  3.3951e-03 
 3.3050e-08  3.3951e-03 
 3.3150e-08  3.3951e-03 
 3.3250e-08  3.3951e-03 
 3.3350e-08  3.3951e-03 
 3.3450e-08  3.3951e-03 
 3.3550e-08  3.3951e-03 
